LA (name),Rank,# of Outstanding Schools,Total Schools
Kensington and Chelsea,1,32,56
Richmond upon Thames,2,32,68
Harrow,3,28,66
Hammersmith and Fulham,4,30,75
Pre-LGR 2019 Bournemouth,4,2,5
Lambeth,4,38,96
Trafford,5,39,100
Wandsworth,6,38,102
Redbridge,7,31,86
Pre-LGR 2019 Dorset,7,14,39
Westminster,8,24,69
Kingston upon Thames,9,21,61
Tower Hamlets,10,39,118
Sutton,11,24,75
Windsor and Maidenhead,11,24,75
Rutland,11,8,25
Barnet,11,50,157
South Tyneside,12,21,67
Southwark,12,36,116
Camden,12,24,78
Newham,12,36,118
Gateshead,13,28,93
Slough,13,18,60
Islington,13,22,74
Hounslow,14,24,82
Surrey,15,126,456
Solihull,15,24,87
Hackney,15,30,109
Brent,16,26,98
St. Helens,17,20,76
Pre-LGR 2019 Poole,17,5,19
Reading,18,16,63
Merton,18,17,67
Bromley,18,32,127
Ealing,18,27,109
Warrington,18,23,93
Wigan,19,36,147
Lewisham,19,22,91
Haringey,19,24,100
Liverpool,19,44,184
Central Bedfordshire,19,32,134
Hertfordshire,19,133,558
Stockport,19,30,126
Milton Keynes,20,28,120
Wirral,20,30,130
Buckinghamshire,20,58,253
Hampshire,20,127,563
Wokingham,20,16,71
Bolton,21,35,156
Newcastle upon Tyne,21,26,116
Cheshire West and Chester,21,38,170
Manchester,21,45,203
Lancashire,21,151,686
Croydon,21,31,141
York,21,16,73
"Herefordshire, County of",22,23,108
Greenwich,22,22,104
Hillingdon,22,23,109
North Tyneside,22,17,82
Enfield,22,23,111
Cheshire East,22,37,179
"Bristol, City of",22,34,165
Redcar and Cleveland,22,14,68
Birmingham,23,108,528
Darlington,23,11,54
Southampton,23,17,84
Waltham Forest,23,18,89
Halton,23,14,70
Stockton-on-Tees,23,17,85
"Bournemouth, Christchurch and Poole",23,18,90
Walsall,23,26,131
Telford and Wrekin,23,16,81
Barnsley,24,20,103
Sandwell,24,24,125
County Durham,24,54,284
Bath and North East Somerset,24,17,90
Kent,24,122,659
"Kingston upon Hull, City of",25,20,109
Gloucestershire,25,58,319
Calderdale,25,20,112
Oldham,25,21,120
Southend-on-Sea,26,11,63
Bracknell Forest,26,7,41
Bedford,26,14,84
North Somerset,27,15,91
North East Lincolnshire,27,12,73
Blackburn with Darwen,27,14,86
Warwickshire,27,43,267
Leicestershire,27,52,323
Leeds,27,48,301
Lincolnshire,27,62,393
Wolverhampton,27,20,127
Rochdale,27,15,96
Derby,27,17,109
Worcestershire,27,43,277
Thurrock,27,9,58
Essex,28,94,607
Bexley,28,14,91
Kirklees,28,31,203
Wakefield,28,25,164
Sheffield,28,31,206
Nottingham,28,18,120
Blackpool,28,7,47
Brighton and Hove,28,12,81
Leicester,28,20,135
Northumberland,28,25,171
Northamptonshire,28,51,350
North Yorkshire,28,57,393
Sefton,29,16,111
Salford,29,18,125
Bradford,29,38,264
Hartlepool,29,6,42
Nottinghamshire,29,53,375
Rotherham,29,20,144
Luton,29,11,81
Sunderland,29,18,133
Oxfordshire,30,44,328
Devon,30,56,419
Bury,30,12,90
West Berkshire,30,12,90
East Sussex,30,29,220
Stoke-on-Trent,30,15,114
Havering,30,13,99
Somerset,30,39,298
Torbay,30,6,46
North Lincolnshire,30,11,85
Middlesbrough,30,9,72
Medway,30,15,120
Staffordshire,31,58,471
Suffolk,31,46,380
Cambridgeshire,31,36,298
Cornwall,31,40,332
Dorset,31,17,145
Cumbria,31,40,343
Norfolk,31,57,489
West Sussex,32,35,310
East Riding of Yorkshire,32,18,160
Shropshire,32,20,183
Derbyshire,32,49,453
Doncaster,32,16,149
Plymouth,32,13,122
Wiltshire,33,27,261
Barking and Dagenham,33,7,68
Knowsley,33,7,68
Coventry,33,13,130
Tameside,33,11,114
Dudley,33,12,126
Portsmouth,34,7,75
South Gloucestershire,34,11,119
Swindon,34,8,93
Peterborough,35,6,84
Isles Of Scilly,36,0,1
Isle of Wight,36,0,53
