po_code,District
EC3,City of London
EC2,City of London
EC4,City of London
NW5,Camden
WC1,Camden
NW3,Camden
NW1,Camden
NW6,Camden
N19,Camden
EC1,Camden
WC2,Camden
NW2,Camden
N1C,Camden
NW8,Camden
HP1,Camden
SE8,Greenwich
SE7,Greenwich
SE2,Greenwich
SE1,Greenwich
SE9,Greenwich
SE3,Greenwich
RH1,Greenwich
E95,Hackney
N15,Hackney
N16,Hackney
E81,Hackney
E96,Hackney
E82,Hackney
E50,Hackney
N14,Hackney
E83,Hackney
E28,Hackney
E97,Hackney
E58,Hackney
E84,Hackney
E59,Hackney
N17,Hackney
N41,Hackney
N42,Hackney
E14,Tower Hamlets
BR5,Hackney
W14,Hammersmith and Fulham
SW6,Hammersmith and Fulham
W12,Hammersmith and Fulham
W68,Hammersmith and Fulham
W60,Hammersmith and Fulham
W67,Hammersmith and Fulham
W69,Hammersmith and Fulham
TW1,Richmond upon Thames
SL5,Hammersmith and Fulham
N10,Islington
N43,Islington
N78,Islington
N13,Islington
N11,Islington
N79,Islington
N12,Islington
N18,Islington
N51,Islington
N76,Islington
N77,Islington
N70,Islington
N52,Islington
N89,Islington
N65,Islington
N44,Islington
W10,Kensington and Chelsea
W11,Kensington and Chelsea
SW3,Kensington and Chelsea
SW1,Kensington and Chelsea
SW5,Kensington and Chelsea
W87,Kensington and Chelsea
W86,Kensington and Chelsea
W84,Kensington and Chelsea
SW7,Kensington and Chelsea
W85,Kensington and Chelsea
W24,Kensington and Chelsea
W43,Hounslow
W1B,Westminster
BR8,Kensington and Chelsea
SW4,Lambeth
SW2,Lambeth
SW8,Lambeth
SE5,Lambeth
SW9,Lambeth
TN3,Lambeth
RG1,Lambeth
SE4,Lewisham
SE6,Lewisham
BR1,Lewisham
SL0,Southwark
E33,Tower Hamlets
E27,Tower Hamlets
E10,Tower Hamlets
E20,Tower Hamlets
E17,Tower Hamlets
E35,Tower Hamlets
E34,Tower Hamlets
E11,Tower Hamlets
E26,Tower Hamlets
E32,Tower Hamlets
E29,Tower Hamlets
E13,Tower Hamlets
E15,Tower Hamlets
E18,Tower Hamlets
E1W,Tower Hamlets
E12,Tower Hamlets
E16,Tower Hamlets
BN2,Tower Hamlets
CT1,Wandsworth
GU1,Wandsworth
W93,Westminster
W21,Westminster
W25,Westminster
W92,Westminster
W26,Westminster
W1W,Westminster
W1H,Westminster
W1K,Westminster
W1D,Westminster
W23,Westminster
W91,Westminster
W1U,Westminster
W1G,Westminster
W22,Westminster
MK3,Westminster
CT9,Westminster
RM9,Barking and Dagenham
RM8,Barking and Dagenham
IG1,Barking and Dagenham
RM1,Barking and Dagenham
RM6,Barking and Dagenham
RM7,Barking and Dagenham
EN4,Barnet
N31,Barnet
N20,Barnet
HA8,Barnet
NW4,Barnet
NW9,Barnet
NW7,Barnet
EN5,Barnet
N32,Barnet
N29,Barnet
N33,Barnet
N28,Barnet
DA1,Bexley
DA8,Bexley
DA7,Bexley
DA6,Bexley
DA5,Bexley
RG4,Wokingham
BD2,Bradford
HA0,Brent
HA3,Brent
HA9,Brent
HA5,Harrow
W71,Ealing
BR2,Bromley
BR3,Bromley
BR4,Bromley
BR7,Bromley
TN1,Bromley
BR6,Bromley
CR5,Croydon
CR8,Croydon
CR0,Croydon
CR7,Croydon
CR2,Croydon
CR3,Croydon
CR9,Croydon
L67,Liverpool
W37,Ealing
UB2,Ealing
UB1,Ealing
W38,Ealing
W52,Ealing
W72,Ealing
UB6,Ealing
W51,Ealing
UB5,Ealing
W13,Ealing
W30,Ealing
W73,Ealing
W54,Ealing
W41,Ealing
W36,Ealing
W55,Ealing
W39,Ealing
N22,Haringey
EN1,Enfield
N97,Enfield
EN2,Enfield
N99,Enfield
EN3,Enfield
N98,Enfield
N21,Enfield
EN6,Enfield
N87,Haringey
N64,Haringey
N80,Haringey
N88,Haringey
HA2,Harrow
HA1,Harrow
HA7,Harrow
WD2,Hertfordshire
RM3,Havering
RM5,Havering
RM2,Havering
RM4,Havering
UB3,Hillingdon
UB7,Hillingdon
UB4,Hillingdon
HA4,Hillingdon
UB8,Hillingdon
UB9,Hillingdon
HA6,Hillingdon
TW3,Hounslow
W45,Hounslow
W42,Hounslow
TW4,Hounslow
TW5,Hounslow
TW7,Hounslow
TW8,Hounslow
KT1,Kingston upon Thames
KT5,Kingston upon Thames
KT2,Kingston upon Thames
KT9,Kingston upon Thames
KT3,Kingston upon Thames
KT4,Kingston upon Thames
KT6,Kingston upon Thames
CR4,Merton
SM4,Merton
E70,Newham
E61,Newham
E66,Newham
E62,Newham
E63,Newham
E79,Newham
E78,Newham
E65,Newham
IG7,Redbridge
IG3,Redbridge
IG6,Redbridge
IG2,Redbridge
IG5,Redbridge
IG4,Redbridge
IG8,Redbridge
TW9,Richmond upon Thames
TW2,Richmond upon Thames
SM1,Sutton
SM6,Sutton
SM5,Sutton
SM2,Sutton
SM3,Sutton
E46,Waltham Forest
E48,Waltham Forest
E47,Waltham Forest
E49,Waltham Forest
B33,Birmingham
B19,Birmingham
B26,Birmingham
B42,Birmingham
B15,Birmingham
B83,Birmingham
B23,Birmingham
B31,Birmingham
B44,Birmingham
B38,Birmingham
B14,Birmingham
B45,Birmingham
B82,Birmingham
B29,Birmingham
B11,Birmingham
B12,Birmingham
B57,Birmingham
B75,Birmingham
B81,Birmingham
B35,Birmingham
B74,Birmingham
B30,Birmingham
B27,Birmingham
B94,Birmingham
B65,Birmingham
B95,Birmingham
B16,Birmingham
B13,Birmingham
B24,Birmingham
B21,Birmingham
B36,Birmingham
B18,Birmingham
B34,Birmingham
B20,Birmingham
B10,Birmingham
B32,Birmingham
B17,Birmingham
B28,Birmingham
B25,Birmingham
B66,Birmingham
B67,Birmingham
B73,Birmingham
B76,Birmingham
B72,Birmingham
B64,Birmingham
B91,Solihull
CH4,Wirral
B60,Birmingham
B98,Birmingham
B93,Birmingham
CV1,Coventry
CV6,Coventry
CV2,Coventry
CV5,Coventry
CV3,Coventry
CV4,Coventry
CV7,Coventry
DY2,Dudley
DY8,Dudley
DY1,Dudley
DY5,Dudley
DY6,Dudley
WV1,Dudley
DY3,Dudley
DY4,Dudley
B63,Dudley
B62,Dudley
DY9,Dudley
B71,Sandwell
B70,Sandwell
B43,Sandwell
WS1,Sandwell
B69,Sandwell
B68,Sandwell
WS5,Sandwell
B90,Solihull
B92,Solihull
B37,Solihull
WS3,Walsall
WS2,Walsall
WS8,Walsall
WS4,Walsall
WS9,Walsall
WV6,Wolverhampton
WV2,Wolverhampton
WV4,Wolverhampton
WV3,Wolverhampton
WV9,Wolverhampton
WV8,Wolverhampton
L28,Knowsley
L36,Knowsley
L34,Knowsley
L35,Knowsley
L14,Knowsley
L32,Knowsley
L33,Knowsley
L26,Knowsley
L25,Knowsley
WA8,Knowsley
L13,Liverpool
L76,Liverpool
L62,Liverpool
L11,Liverpool
L87,Liverpool
L10,Liverpool
L19,Liverpool
L44,Liverpool
L81,Liverpool
L40,Liverpool
L99,Liverpool
L86,Liverpool
L79,Liverpool
L12,Liverpool
L18,Liverpool
L72,Liverpool
L51,Liverpool
L69,Liverpool
L49,Liverpool
L82,Liverpool
L15,Liverpool
L50,Liverpool
L89,Liverpool
L66,Liverpool
L91,Liverpool
L84,Liverpool
L47,Liverpool
L42,Liverpool
L78,Liverpool
L16,Liverpool
L17,Liverpool
L24,Liverpool
L80,Liverpool
L92,Liverpool
L93,Liverpool
L88,Liverpool
L27,Liverpool
L90,Liverpool
L41,Liverpool
L45,Liverpool
L53,Liverpool
L83,Liverpool
L64,Liverpool
L60,Liverpool
L43,Liverpool
L48,Liverpool
L85,Liverpool
L96,Liverpool
L70,Liverpool
L73,Liverpool
L52,Liverpool
L58,Liverpool
L54,Liverpool
L46,Liverpool
L55,Liverpool
L97,Liverpool
WA1,St. Helens
WA9,St. Helens
WN4,St. Helens
WN5,St. Helens
PR9,Sefton
L21,Sefton
L20,Sefton
L30,Sefton
L23,Sefton
PR8,Sefton
L31,Sefton
L22,Sefton
L37,Sefton
TF1,Telford and Wrekin
CH6,Wirral
BL1,Bolton
BL3,Bolton
BL4,Bolton
BL2,Bolton
BL6,Bolton
BL7,Bolton
BL5,Bolton
M26,Bolton
BL8,Bury
BL9,Bury
BL0,Bury
M25,Bury
M45,Bury
M71,Bury
M12,Manchester
M13,Manchester
M91,Manchester
M22,Manchester
M15,Manchester
M40,Manchester
M18,Manchester
M95,Manchester
M19,Manchester
M20,Manchester
M14,Manchester
M84,Manchester
M23,Manchester
M97,Manchester
M21,Manchester
M85,Manchester
M96,Manchester
M94,Manchester
M16,Manchester
M11,Manchester
M88,Manchester
M90,Manchester
M98,Manchester
M46,Manchester
M89,Manchester
